SONY, SNE
MCDONALD_S, MCD
GE, GE
WELLS_FARGO, WFC
YAHOO, YHOO
WAL_MART, WMT
BOEING, BA
EXXONMOBIL, XOM
SHELL, RDS-A
HSBC, HSBC
APPLE, AAPL
MONSANTO, MON
PETROBRAS, PZE
J_P_MORGAN, JPM
CHEVRON, CVX
JOHNSON_AND_JOHNSON, JNJ
TOYOTA, TM
GOLDMAN_SACHS, GS
ORACLE, ORCL
FIAT_1, FCAU
DEUTSCHE_BANK, DB
VERIZON, VZ
IBM, IBM
TESLA_MOTORS, TSLA
AT_T, T
COCA_COLA, KO
CISCO, CSCO
HALLIBURTON, HAL
MACY_S, M
HEWLETT_PACKARD, HPQ
PFIZER, PFE
NIKE, NKE
FACEBOOK_INC, FB
MICROSOFT, MSFT
DUPONT, DD
INTEL, INTC
CATERPILLAR, CAT
AETNA, AET
COSTCO, COST
VISA, V
CVS, CVS
PROCTER_GAMBLE, PG
TWENTYFIRST_CENTURY_FOX, FOX
DISNEY, DIS
3M, MMM
SCHLUMBERGER, SLB
ALIBABA_GROUP, BABA
RIO_TINTO, RIO
BIOGEN, BIIB
CONOCOPHILLIPS, COP
AMERICAN_EXPRESS, AXP
HOME_DEPOT, HD
SAP, SAP
AMAZON_COM, AMZN
MERCK_KGAA, MRK
ALPHABET_INC, GOOG
UNITED_TECHNOLOGIES, UTX
SHIRE, SHPG
MONDELEZ_INTERNATIONAL, MDLZ
CANON, CAJ
BOSTON_SCIENTIFIC, BSX
FORD, F
BERKSHIRE_HATHAWAY, BRK-A
TEVA_PHARMACEUTICALS, TEVA
CELGENE_CORPORATION, CELG
TARGET_CORPORATION, TGT
UNITEDHEALTH_GROUP, UNH
GILEAD_SCIENCES, GILD
HONDA, HMC
STERICYCLE, SRCL
FRESENIUS, FMS
BAIDU, BIDU
KBR, KBR
TERADATA_CORPORATION, TDC
TRANSOCEAN, RIG
GOODYEAR, GT
FRESENIUS_MEDICAL_CARE, FMS
FLIR_SYSTEMS, FLIR
AMG, AMG
CONTINENTAL, CLR
TRAVELERS_COS, TRV
MICHAEL_KORS_HOLDINGS, KORS
PANDORA, P
RICHMONT_MINES, RIC
ROBERT_HALF_INTERNATIONAL, RHI
REALTY_INCOME, O
FERRARI, RACE
MICHAELS_STORES, MIK
BAT, BTI
SONY_ERICSSON, ERIC
BRITISH_AIRWAYS, IAG.L
VOLKSWAGEN, VOW.DE
SAMSUNG, 005930.KS
NESTLE, NESN.VX
LUFTHANSA, LHA.F
TOSHIBA, TSE1.F
BMW, BMW.DE
AIR_FRANCE, AF.PA
BAYER, BAYN.DE
BASF, BAS.DE
ADIDAS, ADS.DE
DEUTSCHE_TELEKOM, DTE.DE
ALLIANZ, ALV.F
DEUTSCHE_BORSE_AG, DB1.SG
COMMERZBANK, CBK.DE
INMARSAT, ISAT.L
E_ON, EOAN.DE
RWE, RWE.F
THYSSEN, TKA.DE
LENOVO, 0992.HK
INFINEON, IFX.DE
DAIMLERCHRYSLER, DAI.DE
HENKEL, HEN.DE
LINDE, LIN.DE
HEIDELBERGCEMENT, HEI.DE
FEMSA, FEMSAUBD.MX
SIEMENS, SIE.DE
NATIONAL_ALUMINIUM_CO, NATIONALUM.NS
VONOVIA, VNA.DE
GERRY_WEBER_INTERNATIONAL, GWI1.DE
DEUTSCHE_POST, DPW.DE
BEIERSDORF_AG, BEI.DE
VIENNA_INSURANCE_GROUP_VIG, VIG.VI
RENISHAW, RSW.L
SASKEN, SASKEN.NS
PROSIEBENSAT1_MEDIA, PSM.DE
NEXT, NXT.L
BOSCH, BOSCHLTD.NS
MUNICH_RE, MUV2.DE
ASSICURAZIONI_DIRECT_LINE, G.MI